Player ID,First Name,Last Name,Position,Salary ($),Games Played,Total Points,Average Points
1032081,Patrick,Retschko,Midfielder,230000,0,0,0
1028514,Patrick,Said,Midfielder / Forward,230000,0,0,0
1024685,Patrick,Snell,Defender / Forward,230000,0,0,0
1022844,Oscar,Steene,Ruck / Forward,230000,0,0,0
1027893,Oscar,Ryan,Defender,230000,0,0,0
1027990,Ollie,Murphy,Defender,230000,0,0,0
1035199,Oliver,Hayes-Brown,Ruck,230000,0,0,0
1029973,Oliver,Sestan,Forward,230000,0,0,0
1020881,Oliver,Wiltshire,Midfielder / Forward,230000,0,0,0
1028371,Odin,Jones,Ruck,230000,0,0,0
1023743,Nicholas,Madden,Ruck,230000,0,0,0
1034066,Nathan,Wardius,Forward,230000,0,0,0
1024304,Mitchell,Edwards,Ruck,230000,0,0,0
1015886,Max,Heath,Ruck / Forward,230000,0,0,0
1027701,Max,Knobel,Ruck,230000,0,0,0
1020855,Max,Hall,Midfielder / Forward,230000,0,0,0
1027921,Max,Gruzewski,Forward,230000,4,68,17
1023486,Matthew,Jefferson,Forward,230000,0,0,0
1027964,Matthew,Carroll,Defender,230000,0,0,0
1039500,Matt,Hill,Defender,230000,0,0,0
1039720,Matt,Duffy,Defender,230000,0,0,0
1021660,Mate,Colina,Ruck,230000,0,0,0
1029136,Malakai,Champion,Forward,230000,0,0,0
1024337,Luker,Kentfield,Forward,230000,0,0,0
1032112,Luke,Kennedy,Midfielder,230000,0,0,0
1029281,Luke,Urquhart,Midfielder,230000,0,0,0
1027985,Luke,Lloyd,Forward,230000,0,0,0
1008805,Luke,Beecken,Defender,230000,0,0,0
1018992,Lucca,Grego,Midfielder,230000,0,0,0
1022452,Lucas,Camporeale,Midfielder,230000,0,0,0
1027706,Luamon,Lual,Defender,230000,0,0,0
1032161,Logan,Smith,Ruck,230000,0,0,0
1020032,Loch,Rawlinson,Forward,230000,1,22,22
1035198,Liam,O'Connell,Defender,230000,0,0,0
1022383,Liam,Fawcett,Forward,230000,0,0,0
1023487,Lewis,Hayes,Defender,230000,0,0,0
1032114,Lennox,Hoffman,Defender,230000,0,0,0
1017959,Lance,Collard,Forward,230000,3,24,8
1027702,Lachlan,Smith,Ruck,230000,0,0,0
1029304,Lachlan,Gulbin ,Forward,230000,0,0,0
1014013,Lachlan,Charleson,Midfielder / Forward,230000,0,0,0
1027949,Kynan,Brown,Midfielder,230000,2,17,8.5
1032141,Keighton,Matofai-Forbes,Forward,230000,0,0,0
1035372,Karl,Gallagher,Defender,230000,0,0,0
1022999,Kaleb,Smith,Defender,230000,4,105,26.3
1017059,Josh,Gibcus,Defender,230000,2,51,25.5
1040300,Josh,Lai,Midfielder,230000,0,0,0
1029030,Josaia,Delana,Midfielder,230000,0,0,0
1013996,Jordan,Croft,Forward,230000,0,0,0
1029000,Joel,Cochran,Defender,230000,0,0,0
1027854,Joe,Pike,Ruck,230000,0,0,0
1023017,Jedd,Busslinger,Defender,230000,0,0,0
1023174,Jed,Adams,Defender,230000,0,0,0
1018987,Jayden,Nguyen,Defender / Midfielder,230000,0,0,0
1027428,Jay,Polkinghorne,Forward,230000,0,0,0
1018122,Jasper,Scaife,Forward,230000,0,0,0
1028537,Jasper,Alger ,Forward,230000,0,0,0
1023047,Jaren,Carr,Forward,230000,0,0,0
1032119,James,Leake,Defender,230000,0,0,0
1021108,James,Tunstill,Midfielder / Forward,230000,3,71,23.7
1011839,James,Blanck,Defender,230000,0,0,0
1020104,Jakob,Ryan,Defender,230000,0,0,0
1039499,Jaime,Uhr-Henry,Ruck,230000,0,0,0
1027006,Jacob,Molier,Ruck,230000,0,0,0
1023530,Jacob,Konstanty,Forward,230000,0,0,0
1038914,Jacob,Moss,Defender,230000,0,0,0
1019975,Jack,Delean,Forward,230000,0,0,0
1009392,Jack,Buller,Forward,230000,0,0,0
1008183,Jack,Henderson,Midfielder,230000,0,0,0
1011558,Isaiah,Dudley,Forward,230000,0,0,0
1015323,Isaac,Keeler,Forward,230000,0,0,0
1027058,Indhi,Kirk,Midfielder,230000,0,0,0
1027834,Iliro,Smit,Ruck,230000,0,0,0
1029148,Hugh,Boxshall,Midfielder,230000,0,0,0
1015330,Hugh,Jackson,Midfielder,230000,0,0,0
1022927,Hugh,Davies,Defender,230000,2,32,16
1023489,Hudson,O'Keeffe,Ruck,230000,0,0,0
1020057,Harry,Barnett,Ruck,230000,1,29,29
1028496,Harry,Charleson,Defender / Midfielder,230000,0,0,0
1028526,Harry,O'Farrell,Defender,230000,0,0,0
1020072,Harry,Lemmey,Forward,230000,0,0,0
1021122,Harry,Rowston,Midfielder,230000,0,0,0
1027673,Harry,DeMattia,Midfielder,230000,0,0,0
1000958,Harry,Boyd,Ruck,230000,0,0,0
1032624,Hamish,Davis,Midfielder / Forward,230000,0,0,0
1023681,George,Stevens,Midfielder,230000,0,0,0
1027726,Geordie,Payne,Midfielder / Forward,230000,0,0,0
1031792,Finnbar,Maley,Ruck / Forward,230000,0,0,0
1027033,Ethan,Read,Forward,230000,4,82,20.5
1039730,Eamonn,Armstrong,Defender,230000,0,0,0
1024193,Darcy,Craven,Forward,230000,0,0,0
1029065,Cooper,Bell,Defender / Forward,230000,0,0,0
1027656,Cooper,Simpson,Forward,230000,2,47,23.5
1015862,Conor,Stone,Forward,230000,4,62,15.5
1028291,Coen,Livingstone,Ruck / Forward,230000,0,0,0
1028566,Cody,Anderson,Midfielder,230000,0,0,0
1039509,Cillian,Burke,Defender,230000,0,0,0
1028563,Christian,Moraes,Midfielder,230000,0,0,0
1028671,Charlie,Edwards,Defender / Midfielder,230000,0,0,0
1027382,Charlie,West,Ruck / Forward,230000,0,0,0
1036103,Campbell,Gray,Defender / Forward,230000,0,0,0
1024096,Caleb,Mitchell,Midfielder,230000,2,36,18
1023544,Brayden,George,Forward,230000,0,0,0
1022473,Bodie,Ryan,Defender,230000,0,0,0
1028564,Blake,Leidler,Defender,230000,0,0,0
1027678,Billy,Wilson,Defender / Midfielder,230000,0,0,0
1022601,Benny,Barrett ,Midfielder,230000,0,0,0
1027282,Ben,Camporeale,Midfielder,230000,0,0,0
1011950,Ben,Jepson,Defender,230000,0,0,0
1020097,Ashton,Moir,Forward,230000,2,56,28
1028541,Asher,Eastham,Forward,230000,0,0,0
1029265,Archer,Day-Wicks,Midfielder / Forward,230000,0,0,0
1027693,Archer,Reid,Ruck / Forward,230000,0,0,0
1027284,Angus,Clarke ,Defender,230000,0,0,0
1027872,Angus,Hastie,Midfielder,230000,5,99,19.8
1027011,Alex,Dodson ,Ruck,230000,0,0,0
1028228,Aiden,Riddle,Ruck,230000,0,0,0
1024173,Aidan,Johnson,Forward,230000,0,0,0
